CMS ID,Revision ID,Content ID,Day,Key,Value,New Value
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.text,"<h4>Welcome!</h4><p><br/></p><p>In your opinion, at this very moment, what do you think is the best way to reach your weight-loss goals with Noom?</p>","<h4>Welcome!</h4><p><br/></p><p>In your opinion, at this very moment, what do you think is the best way to reach your weight-loss goals with Noom?</p>"
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.next_button,NEXT,NEXT
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.answers[0].text,A. Exclusively eat salads.,A. Exclusively eat salads.
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.answers[1].text,B. Exercise for 30 minutes a day.,B. Exercise for 30 minutes a day.
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.answers[2].text,C. Take lots of supplements.,C. Take lots of supplements.
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.answers[3].text,D. Simply believe.,D. Simply believe.
134754,248266,courchExpSX287Day1WelcomeEA3,1,[0].value.explanation,<p>It’s <b>D. Simply believe.</b><br/></p>,<p>It’s <b>D. Simply believe.</b><br/></p>
134754,248266,courchExpSX287Day1WelcomeEA3,1,[1].value.title, , 
134754,248266,courchExpSX287Day1WelcomeEA3,1,[1].value.cta_text,,
134754,248266,courchExpSX287Day1WelcomeEA3,1,[1].value.next_button,I BELIEVE,I BELIEVE
134754,248266,courchExpSX287Day1WelcomeEA3,1,[1].value.content[0].value,"<h4>Simply believe<br/></h4><p><br/></p><p>We started out with this concept because it’s just so important. Whether you think you can or you think you can’t, you’re right.</p><p><b><br/></b></p><p>In psychology, it’s called <b><i>self-efficacy</i></b>—the belief in your own ability to succeed. </p><p><b><br/></b></p><p>If you believe you will reach your goals, you will; if you don’t, you won’t. We know you can do it, but you need to know it, too. </p><p><br/>So before we get started, we have just one question: Do you <b>believe</b>?<br/></p>","<h4>Simply believe<br/></h4><p><br/></p><p>We started out with this concept because it’s just so important. Whether you think you can or you think you can’t, you’re right.</p><p><b><br/></b></p><p>In psychology, it’s called <b><i>self-efficacy</i></b>—the belief in your own ability to succeed. </p><p><b><br/></b></p><p>If you believe you will reach your goals, you will; if you don’t, you won’t. We know you can do it, but you need to know it, too. </p><p><br/>So before we get started, we have just one question: Do you <b>believe</b>?<br/></p>"
134754,248266,courchExpSX287Day1WelcomeEA3,1,[2].value.text,<p>What makes Noom different? <br/></p>,<p>What makes Noom different? <br/></p>
